"[0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.464 2.739 0.349 1.386 1.405
 -1.000 0.025 -1.000 -0.703 0.151 0.373]",,
,0.29362092285141905,
,,0.2935928418217596
"[0.456 0.000 1.055 0.000 0.279 1.873 1.311 0.000 0.479 0.000 0.000 0.826
 -0.275 -0.441 -0.749 -0.605 1.000 -0.692]",,
,0.29243719811763025,
,,0.29241066322600634
"[0.318 1.196 1.117 0.600 0.153 0.485 0.797 0.598 0.000 1.028 0.118 0.450
 -0.560 -0.131 1.000 0.287 -0.286 -1.000]",,
,0.29225316893266184,
,,0.2922298572740622
"[0.725 1.897 1.574 0.000 0.000 3.091 1.244 2.466 0.000 0.000 0.000 1.489
 -1.000 0.661 0.137 -0.518 1.000 -1.000]",,
,0.29450299090301046,
,,0.29450267798075386
"[0.000 0.000 0.794 0.352 0.000 0.226 0.000 1.149 1.025 1.983 1.107 0.000
 1.000 1.000 0.838 -1.000 0.164 -0.395]",,
,0.2962839434765032,
,,0.29626307027517135
"[0.037 1.069 1.924 0.000 0.000 1.018 0.432 0.000 0.000 0.000 0.000 0.000
 -0.108 1.000 0.114 0.596 -1.000 0.059]",,
,0.29509460482370486,
,,0.2950897999712538
"[0.756 0.000 1.467 0.127 0.000 0.000 0.000 0.000 0.000 0.000 0.022 0.000
 -0.338 -1.000 -1.000 1.000 1.000 0.426]",,
,0.29766911505602345,
,,0.2976433949344965
"[0.334 0.460 0.000 0.327 0.000 0.000 0.561 0.054 0.000 0.000 0.000 0.884
 1.000 0.518 -0.407 0.074 -0.770 1.000]",,
,0.29441362132129484,
,,0.2944103680074648
"[0.271 2.164 0.000 0.246 0.000 0.000 0.152 0.000 0.000 0.076 0.000 1.025
 0.022 -1.000 -0.822 0.309 1.000 -0.478]",,
,0.2944504296766738,
,,0.29444701582580823
"[0.000 0.000 0.000 0.000 0.866 0.574 0.000 1.459 2.470 0.000 0.832 0.000
 -0.701 0.033 0.077 0.846 1.000 -0.344]",,
,0.29069747694605985,
,,0.2906327888352981
"[0.218 1.022 2.089 0.000 0.000 0.000 0.947 0.000 0.685 0.623 0.000 0.410
 0.443 -0.035 -0.088 -1.000 -1.000 -0.482]",,
,0.2948053710191711,
,,0.29480441533126295
"[0.631 0.854 1.940 0.963 0.000 0.201 0.000 1.006 0.000 0.000 0.000 0.283
 -1.000 -0.066 0.499 -0.446 -0.564 -0.669]",,
,0.29365080051161396,
,,0.29362459285606796
"[1.137 0.000 0.000 1.102 0.000 0.000 0.000 0.000 0.000 0.000 0.597 0.000
 0.177 0.229 -0.505 -0.460 -1.000 0.403]",,
,0.2924826921713894,
,,0.2924611469859232
"[0.000 1.094 0.000 0.000 0.000 1.929 0.641 0.232 0.612 0.469 0.396 0.000
 -0.494 0.302 -0.657 0.970 -0.040 0.122]",,
,0.2952076517362176,
,,0.29520258004559735
"[0.000 0.000 0.000 0.796 0.518 0.180 1.309 0.793 0.000 0.000 0.374 0.000
 -0.448 0.547 0.605 1.000 -0.025 -0.219]",,
,0.29451374731321106,
,,0.29450998624370084
"[0.000 0.000 0.828 0.737 1.626 0.831 0.000 2.581 0.000 0.000 0.000 0.000
 0.155 0.474 -0.238 0.111 1.000 -0.011]",,
,0.2971348451488239,
,,0.2970760211353682
"[0.000 0.000 0.000 0.000 1.439 0.197 0.000 2.958 0.000 0.506 0.000 0.000
 0.280 -1.000 -1.000 -0.287 -0.738 0.608]",,
,0.2934061869329138,
,,0.29340530180608604
"[0.688 0.000 0.034 0.038 0.635 0.000 0.366 0.000 2.399 0.000 0.000 0.000
 1.000 0.000 1.000 0.540 0.989 0.935]",,
,0.2914403999007015,
,,0.2914366667516445
"[0.000 0.968 0.000 0.000 0.000 1.524 1.381 0.784 1.787 0.360 0.379 0.484
 0.778 1.000 -1.000 0.508 -0.486 -0.291]",,
,0.295895321560208,
,,0.29587361439231785
"[0.000 1.255 1.546 1.277 1.563 1.639 0.000 0.323 0.124 0.317 0.000 0.000
 0.826 1.000 -0.464 1.000 0.281 0.176]",,
,0.29210541991559197,
,,0.2921034865298439
"[0.000 0.619 0.583 0.000 0.000 0.011 0.000 0.627 0.679 0.847 1.286 0.000
 -1.000 0.483 0.431 -0.143 0.083 -0.442]",,
,0.29456991996957654,
,,0.29456936569448944
"[0.571 0.436 0.000 0.000 0.165 0.368 1.016 0.000 0.000 0.000 2.161 0.000
 0.128 1.000 -0.830 -0.698 0.884 -0.985]",,
,0.2943011285271854,
,,0.2942971036765335
"[0.000 0.487 0.790 1.016 0.000 0.000 0.000 0.598 0.000 0.218 0.000 0.000
 1.000 0.285 -0.596 -1.000 0.096 0.480]",,
,0.2970845856171485,
,,0.29706212515074093
"[0.000 0.797 0.000 0.272 1.494 0.957 0.503 0.941 0.000 0.987 0.000 0.175
 -0.626 1.000 -0.470 1.000 -0.277 -0.216]",,
,0.2947164168636311,
,,0.29471564263233807
"[1.985 0.000 0.947 1.116 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
 0.385 -0.597 -0.915 0.064 0.231 0.729]",,
,0.2938544705638173,
,,0.29385268180265356
"[0.000 0.000 0.000 0.000 0.973 0.000 2.004 1.370 1.252 0.000 1.005 0.000
 1.000 1.000 0.771 0.567 -1.000 0.551]",,
,0.2939056793949397,
,,0.2939010021314514
"[0.000 0.252 0.000 0.000 0.000 0.000 0.000 2.057 1.518 0.311 0.208 0.000
 -0.546 -0.863 -0.750 -0.995 -1.000 0.905]",,
,0.29497736388209256,
,,0.29497417403692855
"[0.389 1.007 0.000 0.211 1.686 1.814 0.000 0.787 0.000 0.000 0.000 0.000
 1.000 0.801 1.000 -0.002 0.048 1.000]",,
,0.29322366048416937,
,,0.29320961583851646
"[0.000 0.000 0.743 0.000 0.000 1.306 0.000 1.368 0.000 1.421 2.145 0.850
 1.000 1.000 -1.000 0.887 -0.473 0.870]",,
,0.294650038797341,
,,0.2945925431308346
"[0.474 0.046 0.389 1.371 0.000 0.000 0.000 1.357 0.000 1.333 0.937 0.000
 1.000 -0.326 0.561 -0.710 0.469 0.125]",,
,0.2945946121435281,
,,0.294594055887077
"[0.000 0.000 0.000 0.182 1.524 0.000 0.000 0.858 0.000 0.000 0.515 0.128
 0.332 -0.082 -0.252 0.219 -1.000 -0.510]",,
,0.29539935553302005,
,,0.29538558817462207
