[0.000 0.690 0.000 0.718 0.211 0.460 -0.278 -0.890 0.927 0.649 0.369 0.655],,
,0.2945198754159999,
,,0.2945076770216251
[1.652 2.970 0.373 0.000 0.930 0.000 -0.337 0.116 -0.465 0.824 1.000 1.000],,
,0.1627805828507737,
,,0.16256652728331691
[2.452 1.479 0.640 0.000 0.000 0.000 0.295 0.733 0.835 -0.057 0.584 0.643],,
,0.29441737082716074,
,,0.29441595289320893
"[0.399 0.598 2.019 0.132 0.365 0.000 -1.000 -1.000 -1.000 0.193 0.407
 1.000]",,
,0.29329961043459774,
,,0.29329768367421616
[0.963 0.214 1.383 0.000 0.145 0.000 -0.980 1.000 -1.000 1.000 0.866 1.000],,
,0.29430859477387067,
,,0.29430792766409586
[0.000 0.000 0.000 1.353 1.294 0.550 1.000 1.000 0.047 1.000 -0.297 0.302],,
,0.29341575730981645,
,,0.2934087567522439
[0.000 1.311 1.338 0.000 1.974 0.000 0.737 0.585 1.000 0.406 1.000 0.394],,
,0.7463279471670096,
,,0.7437815510414428
"[0.000 2.073 1.318 0.041 0.542 0.000 -0.753 0.311 -0.010 -0.712 -0.380
 0.240]",,
,0.04760747134738992,
,,0.04500724837385698
"[0.282 0.000 0.170 0.000 0.160 0.000 -0.097 0.173 -1.000 -0.358 1.000
 0.839]",,
,0.29314236758141127,
,,0.29312174113181144
"[3.326 1.565 0.000 1.509 0.746 0.042 -0.071 -0.799 -0.949 -0.630 1.000
 -0.731]",,
,0.2808306340528389,
,,0.2780357360434398
"[2.051 0.000 0.000 0.000 1.408 0.000 -1.000 0.821 0.742 -1.000 -0.499
 -0.083]",,
,0.24706653306937917,
,,0.24531611301941675
"[0.263 0.000 0.000 0.417 0.746 0.000 0.064 -0.855 -0.610 -0.549 0.332
 0.379]",,
,0.29619610679768615,
,,0.29617930130317904
"[0.000 0.187 0.369 0.000 0.000 0.681 -1.000 1.000 0.937 0.468 -0.275
 -0.593]",,
,0.021999085060322,
,,0.012465835149621587
[1.947 0.114 1.028 0.043 0.000 0.000 0.816 0.256 -0.869 1.000 1.000 1.000],,
,0.5162999885065795,
,,0.5139568383529526
[0.000 1.179 0.000 0.310 0.271 0.583 0.323 -0.652 1.000 0.164 -0.086 0.204],,
,0.2231247026579099,
,,0.22303862730997467
[1.329 1.238 0.000 0.000 0.386 0.000 1.000 1.000 1.000 0.510 1.000 -1.000],,
,0.2584911841087097,
,,0.25661159155142205
[0.000 0.000 1.810 0.000 1.415 0.000 1.000 0.120 -1.000 1.000 -1.000 0.152],,
,0.17846531532487706,
