"[0.345 1.058 0.627 2.280 0.000 0.270 0.000 0.000 0.616 0.000 0.000 0.553
 -0.594 -0.480 0.606]",,
,0.294461868186402,
,,0.29446182244461155
"[1.851 2.638 0.229 0.000 0.000 1.515 0.000 0.000 0.000 1.066 0.000 0.000
 1.000 1.000 -0.369]",,
,0.29429478567010875,
,,0.2942945194819827
"[0.000 0.000 0.000 1.834 0.957 1.213 1.791 0.390 0.863 0.000 0.828 0.509
 -0.453 -1.000 -0.902]",,
,0.2928388837747133,
,,0.2928366316550268
"[0.570 0.675 1.801 1.667 0.000 0.000 0.493 0.000 0.000 0.000 0.000 0.096
 -0.415 -1.000 -0.375]",,
,0.29393451547518745,
,,0.2939343726558785
"[1.845 0.268 0.000 0.981 1.162 0.000 0.000 0.000 0.740 1.798 0.000 0.000
 -0.295 -0.623 1.000]",,
,0.2956689930207655,
,,0.29566569615681426
"[0.769 1.926 0.000 0.999 1.005 0.000 0.236 0.227 0.000 1.271 0.000 0.000
 0.701 0.803 -0.552]",,
,0.2943130840410048,
,,0.2943129241826049
"[0.000 0.324 0.823 0.000 0.000 0.000 0.377 0.000 0.000 0.843 0.443 0.000
 0.964 -0.375 -0.617]",,
,0.294542573713299,
,,0.294542504122935
"[0.692 2.062 0.000 0.000 1.470 0.000 0.000 0.000 1.981 0.828 0.000 0.000
 0.892 1.000 -0.913]",,
,0.29434686609087396,
,,0.2943467660165531
"[0.000 0.000 1.092 1.162 0.473 1.661 0.000 0.000 0.150 0.786 0.000 0.000
 -1.000 -0.881 -0.420]",,
,0.2942285637544608,
,,0.2942283328400911
"[2.541 0.000 0.000 0.892 0.137 1.778 0.019 1.346 0.000 0.235 0.681 0.000
 0.145 0.758 -1.000]",,
,0.29420406577401376,
,,0.2942038289235285
"[0.118 0.000 0.103 0.945 0.723 1.422 0.000 0.305 0.000 1.438 1.579 0.000
 1.000 -1.000 -0.712]",,
,0.2940324176527208,
,,0.29403152410386085
"[0.000 0.000 0.780 1.477 0.000 0.000 0.494 0.389 0.000 1.578 0.167 2.399
 0.555 -0.624 0.606]",,
,0.2948277463632831,
,,0.2948266293689592
"[0.000 0.000 0.000 1.520 0.000 0.000 0.000 0.000 2.132 0.000 0.000 0.619
 1.000 0.197 1.000]",,
,0.29422997234468823,
,,0.2942299669846346
"[0.000 0.186 1.208 0.000 1.085 0.000 0.484 0.903 0.000 0.000 0.000 3.046
 0.975 -1.000 -0.213]",,
,0.29426117131442175,
,,0.29426115696929545
"[0.352 1.843 1.402 0.000 1.399 1.474 0.000 0.000 0.000 0.000 2.005 0.661
 1.000 -0.696 -0.787]",,
,0.2943719571363544,
,,0.29437160861905365
