[-0.286 -0.462 1.000 -0.539 -1.000 0.344]
[0.876 1.000 0.874 -0.055 -0.271 0.119]
[-0.485 -0.788 0.591 0.499 0.329 -0.281]
[0.616 -0.515 1.000 -0.418 0.607 1.000]
[-0.471 0.149 0.162 0.466 -0.955 -0.002]
[-0.377 -0.856 1.000 1.000 -0.894 -0.026]
[-0.670 -0.650 0.134 -1.000 -0.451 -0.838]
[-1.000 1.000 -0.526 -0.418 1.000 -0.165]
[0.860 0.114 -0.464 0.898 -1.000 -0.803]
[1.000 -1.000 -0.079 1.000 -0.029 -0.066]
[0.760 0.513 -0.876 -0.441 1.000 0.591]
[1.000 0.371 -1.000 0.017 0.650 -0.864]
[1.000 1.000 -0.641 -1.000 1.000 -0.257]
[-0.026 1.000 1.000 0.842 1.000 0.961]
[0.939 1.000 -0.135 -0.824 -0.009 0.723]
[-0.413 0.084 -0.322 -0.764 0.785 -0.205]
[-1.000 1.000 -1.000 0.889 -0.932 0.975]
[1.000 0.033 1.000 0.110 -1.000 0.101]
[-1.000 0.228 1.000 1.000 -1.000 1.000]
[-0.042 0.638 -0.427 -1.000 -0.721 -1.000]
[-1.000 0.473 -0.258 0.452 0.775 0.359]
[0.110 0.334 -1.000 0.273 1.000 -0.560]
[0.094 -1.000 -0.515 -0.162 0.511 1.000]
[-0.527 1.000 -1.000 0.797 -0.722 0.939]
[-1.000 0.933 0.096 -0.229 0.904 0.587]
[-0.016 -0.126 0.020 -0.055 0.245 -0.572]
[-0.880 -0.526 0.814 0.301 1.000 0.616]
[-0.993 1.000 -0.849 0.190 -0.306 0.846]
[-0.006 -0.539 0.079 0.187 -0.619 1.000]
[-0.227 -0.495 -0.310 -0.567 0.724 0.258]
[-0.042 0.305 -1.000 1.000 -0.187 0.957]
[0.753 1.000 1.000 0.516 1.000 1.000]
[0.771 -0.283 1.000 0.917 -0.710 0.862]
[-0.504 -1.000 0.545 0.394 -0.319 -0.316]
[-0.267 0.202 -1.000 -0.385 0.994 0.081]
[0.205 1.000 1.000 0.278 -0.149 1.000]
[-0.544 -0.727 0.284 0.470 -0.005 1.000]
[0.103 1.000 0.957 0.802 -1.000 0.080]
[-1.000 -0.643 0.433 1.000 -0.146 0.637]
[-0.839 1.000 1.000 -0.271 1.000 -1.000]
[0.260 0.048 0.579 1.000 -0.710 1.000]
[-0.424 -0.363 0.860 -0.574 -0.924 -1.000]
