"[0.000 0.000 0.761 0.000 0.000 0.000 1.295 0.441 0.000 0.866 0.000 1.024
 1.000 0.246 0.881 -1.000 -1.000 -1.000]",,
,0.2943249087422075,
,,0.2943242225173511
"[0.743 1.638 1.407 0.000 0.816 1.212 0.000 1.148 0.000 0.000 0.000 0.277
 0.952 -1.000 -0.069 0.285 0.102 0.116]",,
,0.2926336600247507,
,,0.2926129960710845
"[0.685 0.000 0.169 0.542 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
 0.789 0.569 -0.055 0.024 -0.555 0.122]",,
,0.29449372940346036,
,,0.29449336836196927
"[0.000 0.000 0.141 0.340 0.000 0.000 0.741 0.000 0.847 1.137 0.118 0.000
 -0.770 0.937 -1.000 1.000 0.295 0.869]",,
,0.2943914036562608,
,,0.29439054744980764
"[0.000 0.008 0.244 0.000 1.199 1.661 0.000 0.000 0.000 0.547 0.560 1.375
 -1.000 -1.000 0.583 -0.384 1.000 -0.032]",,
,0.29357978652330174,
,,0.2935765888239912
"[0.359 0.867 0.106 1.115 0.207 0.641 0.000 0.000 0.000 0.402 0.000 0.000
 0.271 0.537 0.503 -0.251 0.125 -0.138]",,
,0.29481885927077167,
,,0.29481673555227206
"[0.000 1.459 0.378 0.970 0.000 0.000 0.000 0.000 0.034 0.372 0.000 0.041
 -1.000 -1.000 -0.837 0.357 0.436 0.209]",,
,0.29439435952000437,
,,0.29438051125471426
"[0.208 0.000 0.000 0.000 0.015 1.135 1.793 2.515 0.198 2.055 1.588 1.654
 -0.010 0.612 0.369 -0.177 -1.000 -0.632]",,
,0.29413468118873054,
,,0.29413120368318435
"[0.025 0.087 1.259 0.000 0.000 0.000 0.570 0.000 0.916 0.000 0.000 0.000
 0.657 -0.887 0.329 -0.251 0.262 -1.000]",,
,0.2944920931280017,
,,0.2944904262543834
"[0.786 0.080 0.000 1.304 0.715 0.000 0.726 2.378 0.992 0.000 0.000 0.000
 0.213 0.085 0.313 0.873 -1.000 -0.494]",,
,0.29344303607017935,
,,0.29344260257150434
"[0.010 0.000 0.476 1.741 0.120 1.173 0.161 0.000 0.572 0.833 0.515 1.385
 -1.000 0.458 0.616 -1.000 -0.354 -0.962]",,
,0.2947499571293989,
,,0.2947495513268924
"[0.000 0.692 0.000 0.928 0.151 1.046 0.000 0.000 0.886 0.071 0.271 0.000
 0.896 0.175 0.583 -0.429 -0.828 -1.000]",,
,0.2936954626875836,
,,0.2936917875170447
"[0.000 2.173 0.000 0.000 0.014 0.000 0.090 0.000 1.050 0.116 0.000 0.305
 0.725 -0.252 0.316 -0.924 -1.000 -1.000]",,
,0.294261148913839,
,,0.29425694128523616
"[0.000 1.048 0.717 0.020 0.000 1.466 0.000 0.000 1.972 0.342 0.000 0.000
 -0.484 1.000 -0.371 0.899 0.544 -1.000]",,
,0.29474764304514733,
,,0.29474212228798224
"[0.292 0.000 1.109 3.635 0.000 1.205 0.000 0.943 0.000 0.346 0.000 0.000
 1.000 0.406 -0.180 -1.000 0.380 -0.418]",,
,0.292878989936713,
,,0.29284752422065646
"[0.000 0.682 1.393 0.000 0.371 0.010 0.000 0.069 0.000 0.252 0.000 0.933
 -0.278 0.512 0.324 0.074 -1.000 1.000]",,
,0.2940491786551104,
,,0.2940436202721149
"[0.000 0.667 0.000 0.838 0.000 0.000 0.000 0.609 0.000 0.000 0.000 0.000
 0.601 1.000 0.663 0.480 1.000 -0.687]",,
,0.29443305728213814,
,,0.2944121434879061
"[0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.085
 -0.459 0.320 -1.000 -1.000 0.461 -0.218]",,
,0.29139638945647806,
,,0.2913708431339754
"[0.000 0.000 0.000 0.000 0.007 0.644 0.232 0.816 0.900 0.000 0.072 0.000
 1.000 -0.343 0.743 -0.609 0.436 -1.000]",,
,0.29562196947122626,
,,0.2956166645044553
"[0.585 0.000 0.499 0.000 2.167 0.000 0.720 0.668 1.166 0.000 0.000 0.739
 0.721 -0.575 -0.520 -0.623 -0.255 -0.488]",,
,0.2930853810004185,
,,0.2930829174603469
"[2.260 1.599 2.872 1.076 1.231 0.000 0.697 0.000 0.007 1.063 0.993 0.009
 1.000 -0.301 -1.000 -0.739 1.000 0.618]",,
,0.29466581924702684,
,,0.29466142689256875
"[0.000 2.170 0.947 0.048 0.459 0.000 0.000 0.512 0.000 0.134 0.000 0.000
 -0.071 0.677 -0.237 1.000 -0.188 0.556]",,
,0.2946785561097689,
,,0.29467550189782754
"[0.000 0.910 0.339 0.673 0.000 0.000 1.333 2.488 0.641 0.643 0.000 0.000
 0.022 1.000 1.000 0.665 0.338 1.000]",,
,0.29382426094906045,
,,0.29379879041980905
"[0.000 0.000 0.000 0.000 0.000 0.195 1.385 0.000 0.000 1.551 0.356 1.287
 1.000 0.672 0.721 0.212 -1.000 1.000]",,
,0.2913324131658556,
,,0.29119928001131407
"[3.010 0.000 0.000 0.001 0.000 0.000 0.819 1.079 0.000 0.416 0.000 0.000
 -1.000 -0.531 -1.000 -0.404 0.306 0.656]",,
,0.29489592703097717,
,,0.29489391434322193
"[0.000 0.000 0.000 2.112 2.381 0.647 0.553 0.946 0.000 1.844 0.000 0.635
 -0.425 0.862 -1.000 -0.044 -1.000 0.391]",,
,0.29275333475823645,
,,0.2927418980769272
"[0.000 0.275 1.353 0.000 0.000 0.000 0.000 1.501 0.000 0.000 0.000 0.000
 0.606 -0.046 -0.544 -0.993 1.000 0.613]",,
,0.29502681733193853,
,,0.29502357892170056
"[0.000 0.000 0.817 0.580 0.000 0.304 1.485 0.000 1.539 0.000 0.000 0.000
 1.000 0.048 -0.099 -0.956 -0.341 -0.349]",,
,0.29562933259563573,
,,0.2956078734949105
"[0.000 1.414 0.000 0.837 0.744 0.050 0.455 1.657 0.000 0.000 0.000 2.205
 -1.000 -0.320 -1.000 0.303 -0.863 -0.892]",,
,0.29450203466645836,
,,0.29449250883879874
"[0.000 1.463 0.000 2.058 0.000 0.157 0.000 0.000 1.499 0.089 0.000 0.000
 0.351 -0.017 -1.000 -0.159 0.873 -1.000]",,
,0.29415841613422866,
,,0.29412831914241494
"[2.326 0.785 0.000 0.857 0.000 0.000 0.000 0.482 0.501 0.142 0.181 0.000
 0.388 -0.106 -0.446 0.231 0.373 0.215]",,
,0.29482289013744006,
,,0.29481732377832753
"[0.132 1.036 0.323 1.859 0.000 0.000 0.850 0.000 0.000 0.000 0.000 0.000
 -0.209 0.253 -1.000 0.150 -1.000 0.359]",,
,0.29424737315280114,
,,0.2942454289576521
"[0.404 0.443 0.409 0.000 0.000 0.097 0.034 0.000 0.000 0.327 0.000 0.908
 0.238 0.360 -0.442 1.000 -0.078 0.075]",,
,0.2948969796513839,
,,0.2948912632920619
"[0.965 0.000 0.941 0.056 1.705 0.000 0.386 0.344 1.177 0.000 0.153 0.767
 0.498 1.000 0.318 -1.000 1.000 -0.141]",,
,0.2940323604136793,
,,0.2940291408216768
"[0.000 1.950 0.000 0.053 0.000 0.158 0.000 0.000 0.000 0.952 0.029 0.000
 1.000 -1.000 -0.583 -1.000 0.723 0.411]",,
,0.2942479945095909,
,,0.2942383393866047
"[0.000 0.000 0.597 1.149 0.000 0.553 0.864 1.166 0.000 0.250 2.374 1.068
 0.336 0.418 0.272 -0.683 1.000 0.731]",,
,0.29342513882304067,
,,0.2934163991093411
"[2.067 1.468 0.000 0.556 0.796 0.000 0.000 1.481 1.669 1.541 0.000 0.387
 -1.000 0.347 0.318 -0.146 1.000 -0.941]",,
,0.2942926422277393,
,,0.29429215833977823
"[0.229 0.000 0.256 0.000 0.733 0.694 1.680 0.000 0.000 0.141 0.000 0.000
 0.138 0.326 -0.252 -0.427 -1.000 0.328]",,
,0.2939166463183709,
,,0.29391365542437414
"[0.194 0.000 1.117 0.624 1.174 0.439 1.232 1.441 0.000 0.006 0.000 0.564
 1.000 0.184 -1.000 0.215 -0.865 -0.041]",,
,0.29410437666511346,
,,0.2940894925800624
"[0.610 0.000 0.763 0.729 0.000 0.000 0.000 0.716 1.327 0.000 0.000 1.412
 0.189 -0.078 0.343 0.487 0.338 -0.516]",,
,0.2936251499398988,
,,0.29361351003675246
"[1.659 0.000 0.206 0.000 0.000 2.436 0.106 0.000 1.154 0.253 0.000 0.000
 -1.000 -0.128 -0.768 0.166 -0.524 0.439]",,
,0.29506012658874176,
,,0.29494335161443347
"[0.535 0.000 0.000 0.000 0.519 0.974 0.000 0.000 0.623 0.000 0.000 0.139
 0.096 -0.540 1.000 0.586 1.000 -0.886]",,
,0.29449110618706803,
,,0.29448963091130287
"[0.437 0.000 0.072 0.055 0.849 0.000 0.000 1.361 0.000 0.000 0.000 1.202
 -0.443 0.727 -0.134 0.045 1.000 0.383]",,
,0.2947963172056953,
,,0.29477924788780246
"[0.000 0.000 0.000 0.000 0.441 0.584 0.456 0.916 0.624 1.099 2.299 1.499
 0.313 0.931 0.050 -0.950 -0.949 -1.000]",,
,0.2921839697580254,
,,0.2921810982438294
